54b - Razão de mamografia de rastreamento em mulheres de 50 a 69 anos SUS dependentes
Razão ex mamo pop SUS dep  por Município e Ano
Período:2010-2022
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"350010 Adamantina";0,38;0,33;0,35;0,51;0,55;0,68;0,58;0,54;0,56;0,87;0,39;0,58;0,56;0,53
"350020 Adolfo";0,58;0,57;0,61;0,62;0,51;1,57;0,66;0,78;0,76;0,80;0,44;0,43;0,58;0,68
"350030 Aguaí";0,09;0,13;0,44;0,37;0,30;0,47;0,30;0,34;0,30;0,52;0,21;0,18;0,37;0,31
"350040 Águas da Prata";0,23;0,35;0,30;0,30;0,38;0,53;0,41;0,45;0,31;0,32;0,41;0,20;0,26;0,34
"350050 Águas de Lindóia";0,52;0,60;0,57;0,57;0,57;0,39;0,65;0,89;0,58;0,56;0,38;0,29;0,62;0,55
"350055 Águas de Santa Bárbara";0,30;0,30;0,35;0,39;0,22;0,45;0,48;0,31;0,39;0,22;0,22;0,14;0,06;0,28
"350060 Águas de São Pedro";0,07;0,84;0,89;0,78;0,57;1,04;0,86;1,00;0,94;0,86;0,50;0,76;0,87;0,77
"350070 Agudos";0,37;0,34;0,30;0,34;0,27;0,35;0,33;0,32;0,27;0,35;0,14;0,22;0,24;0,29
"350075 Alambari";0,61;0,53;0,61;0,48;0,72;0,56;0,45;0,57;0,60;0,50;0,43;0,44;0,53;0,53
"350080 Alfredo Marcondes";0,29;1,21;0,98;0,59;0,89;1,15;0,77;0,78;0,80;0,53;0,49;0,46;0,63;0,73
"350090 Altair";0,20;1,06;0,11;0,70;0,90;1,18;0,66;0,46;1,15;0,80;0,20;0,10;1,34;0,69
"350100 Altinópolis";0,58;0,42;0,76;0,75;0,75;0,65;0,57;0,63;0,63;0,60;0,30;0,40;0,46;0,57
"350110 Alto Alegre";0,31;2,13;0,18;0,86;1,01;1,74;0,07;0,02;1,82;0,06;0,02;1,60;0,05;0,75
"350115 Alumínio";0,42;0,57;0,43;0,61;0,54;0,47;0,46;0,09;0,71;0,11;0,11;0,17;0,17;0,36
"350120 Álvares Florence";0,66;0,61;0,97;0,60;1,29;0,39;1,46;0,42;1,03;0,50;0,34;0,60;0,80;0,74
"350130 Álvares Machado";0,26;0,42;0,43;0,35;0,51;0,42;0,47;0,37;0,45;0,36;0,22;0,31;0,35;0,38
"350140 Álvaro de Carvalho";0,09;0,34;0,23;0,21;0,25;0,25;0,32;0,30;0,34;0,17;0,10;0,11;0,34;0,23
"350150 Alvinlândia";0,22;0,53;0,45;0,46;0,51;0,37;0,37;0,38;0,38;0,34;0,24;0,30;0,58;0,39
"350160 Americana";0,72;0,80;1,01;0,67;0,73;0,58;0,50;0,61;0,59;0,60;0,16;0,38;0,49;0,57
"350170 Américo Brasiliense";0,31;0,60;0,61;0,54;0,67;0,61;0,60;0,73;0,51;0,65;0,47;0,35;0,44;0,54
"350180 Américo de Campos";0,41;0,30;1,17;0,27;1,43;0,14;1,42;0,14;1,11;0,14;0,16;0,23;0,32;0,54
"350190 Amparo";0,49;0,59;0,47;0,46;0,50;0,56;0,51;0,75;0,53;0,54;0,52;0,20;0,48;0,50
"350200 Analândia";0,20;0,25;0,36;0,50;0,50;0,58;0,51;0,35;0,39;0,30;0,18;0,38;0,50;0,39
"350210 Andradina";0,05;0,29;1,24;0,30;1,16;0,25;1,09;0,26;0,67;0,46;0,10;0,80;0,18;0,52
"350220 Angatuba";0,26;0,32;0,53;0,48;0,45;0,55;0,43;0,36;0,33;0,25;0,19;0,21;0,13;0,34
"350230 Anhembi";0,42;0,51;0,50;0,38;0,40;0,35;0,49;0,46;0,28;0,29;0,06;0,12;0,32;0,34
"350240 Anhumas";0,02;0,35;0,36;0,33;0,93;0,85;0,79;0,72;0,23;0,16;0,01;0,12;0,17;0,38
"350250 Aparecida";0,12;0,21;0,14;0,24;0,27;0,16;0,11;0,12;0,11;0,27;0,09;0,07;0,36;0,17
"350260 Aparecida d'Oeste";0,53;0,69;1,07;0,12;0,65;0,72;0,24;1,24;0,20;1,09;0,11;1,17;0,19;0,62
"350270 Apiaí";0,16;0,12;0,18;0,15;0,09;0,51;0,12;0,09;0,09;0,39;0,09;0,10;0,34;0,19
"350275 Araçariguama";0,21;0,33;0,45;0,60;0,37;0,39;0,43;0,44;0,69;0,03;0,11;0,17;0,25;0,33
"350280 Araçatuba";0,42;0,53;0,60;0,60;0,62;0,50;0,57;0,59;0,30;0,54;0,42;0,39;0,47;0,50
"350290 Araçoiaba da Serra";0,03;0,27;0,38;0,36;0,42;0,36;0,28;0,24;0,25;0,22;0,11;0,12;0,14;0,24
"350300 Aramina";0,25;0,51;0,61;0,66;0,66;0,88;0,77;0,76;0,65;0,79;0,73;0,27;0,62;0,63
"350310 Arandu";0,22;0,44;0,31;0,35;0,27;0,31;0,35;0,13;0,29;0,05;0,05;0,07;0,07;0,21
"350315 Arapeí";0,27;0,63;0,63;0,66;0,68;0,64;0,59;0,60;0,60;0,54;0,30;0,41;0,53;0,54
"350320 Araraquara";0,61;0,72;0,76;0,66;0,69;0,74;0,65;0,64;0,59;0,62;0,36;0,46;0,52;0,60
"350330 Araras";0,43;0,68;0,67;0,42;0,51;0,56;0,70;0,63;0,61;0,48;0,15;0,15;0,52;0,46
"350335 Arco-Íris";0,76;0,54;0,60;0,83;0,78;0,57;0,59;0,47;0,80;0,70;0,39;0,35;0,64;0,61
"350340 Arealva";0,23;0,36;0,23;0,31;0,46;0,49;0,41;0,47;0,33;0,28;0,23;0,34;0,35;0,34
"350350 Areias";0,15;0,38;0,43;0,40;0,34;0,37;0,26;0,38;0,34;0,32;0,22;0,16;0,37;0,31
"350360 Areiópolis";0,54;0,42;0,43;0,35;0,61;0,35;0,40;0,34;0,25;0,14;0,07;0,10;0,41;0,32
"350370 Ariranha";0,26;0,33;0,40;0,34;0,53;0,35;0,35;0,90;0,20;0,46;0,29;0,23;0,55;0,40
"350380 Artur Nogueira";0,44;0,54;0,62;0,33;0,15;0,03;0,03;0,08;0,54;0,26;0,11;0,04;0,17;0,23
"350390 Arujá";0,63;0,72;0,72;0,68;0,53;1,13;1,21;1,19;0,69;0,60;0,23;0,77;0,70;0,75
"350395 Aspásia";0,48;1,08;0,41;1,67;0,51;1,26;0,54;1,17;0,41;0,76;0,20;0,35;1,24;0,77
"350400 Assis";0,23;0,32;0,32;0,36;0,39;0,33;0,35;0,33;0,33;0,34;0,21;0,18;0,24;0,30
"350410 Atibaia";0,31;0,55;0,59;0,61;0,63;0,40;0,50;0,63;0,62;0,53;0,47;0,47;0,59;0,53
"350420 Auriflama";0,33;0,44;0,61;1,76;0,26;1,41;0,15;1,37;0,12;1,05;0,07;0,22;0,84;0,65
"350430 Avaí";0,15;0,26;0,16;0,18;0,20;0,26;0,20;0,28;0,22;0,17;0,24;0,26;0,27;0,22
"350440 Avanhandava";0,11;1,34;0,17;1,27;0,14;1,25;0,15;0,11;1,11;0,03;0,88;0,22;0,13;0,52
